Original_Layer_Name,New_Layer_Name,CQL_FILTER
VMFEAT_GNR,gnr,
VMFEAT_LOCALITY_POINT,locality_point,
VMFEAT_PL_PLACE_AREA_POLYGON,pl_place_area_polygon,
VMFEAT_POLICE_STATION,geomark_point,feature_type='emergency facility' and feature_subtype='police station' and auth_org_code='107'
VMHYDRO_HY_WATER_AREA_POLYGON,hy_water_area_polygon,
VMHYDRO_HY_WATER_STRUCT_AREA_TANK,hy_water_struct_area_polygon,feature_type_code='tank_water'
VMHYDRO_HY_WATER_POINT,hy_water_point,
VMHYDRO_HY_WATER_STRUCT_POINT,hy_water_struct_point,
VMHYDRO_HY_WATERCOURSE,hy_watercourse,
VMHYDRO_WATER_AREA_INNUNDATION,hy_water_area_polygon,feature_type_code='flat_sti'
VMHYDRO_WATER_AREA_LAKES_DAMS,hy_water_area_polygon,feature_type_code='wb_lake'
VMHYDRO_WATER_AREA_PONDAGE,hy_water_area_polygon,feature_type_code='pondage'
VMHYDRO_WATER_AREA_SALT_LAKE,hy_water_area_polygon,feature_type_code='wb_lake_salt'
VMHYDRO_WATER_AREA_SALT_PAN,hy_water_area_polygon,feature_type_code='pandage_saltpan'
VMHYDRO_WATER_AREA_SEWAGE,hy_water_area_polygon,feature_type_code='pondage_sewerage'
VMHYDRO_WATER_AREA_SWAMPS,hy_water_area_polygon,feature_type_code='wetland_swamp'
VMHYDRO_WATER_STRUCT_DAM_BATTER,hy_water_area_polygon,feature_type_code='dam_batter'
VMHYDRO_WATER_STRUCT_MARINA,hy_water_area_polygon,feature_type_code='marina'
VMHYDRO_WATER_STRUCT_SPILLWAY,hy_water_area_polygon,feature_type_code='spillway'
VMHYDRO_WATER_STRUCT_TANK,hy_water_struct_point,feature_type_code='tank_water'
VMHYDRO_WATER_STRUCT_BREAKWATER,hy_water_struct_line,feature_type_code='breakwater'
VMHYDRO_WATER_STRUCT_CAUSEWAY,hy_water_struct_line,feature_type_code='causeway'
VMHYDRO_WATER_STRUCT_WATER_PLACE,hy_water_struct_point,feature_type_code='watering_place'
VMHYDRO_WATER_STRUCT_DAM_WALL,hy_water_struct_line,feature_type_code='dam_wall'
VMHYDRO_WATER_STRUCT_DAM_WALL_ROAD,hy_water_struct_line,feature_type_code='dam_wall_road'
VMHYDRO_WATER_STRUCT_LOCK,hy_water_struct_line,feature_type_code='lock'
VMHYDRO_WATER_STRUCT_WELL,hy_water_struct_point,feature_type_code='well_water'
VMHYDRO_WATER_STRUCT_PIPE,hy_water_struct_line,feature_type_code='pipe_water'
VMHYDRO_WATER_STRUCT_RAMP,hy_water_struct_line,feature_type_code='launching_ramp'
VMHYDRO_WATERCOURSE_CHANNEL,hy_watercourse,feature_type_code='watercourse_channel'
VMHYDRO_WATERCOURSE_CONNECTOR,hy_watercourse,feature_type_code like '%connector%'
VMHYDRO_WATER_STRUCT_UG_PIPE,hy_water_struct_line,feature_type_code='pipe_water_uground'
VMHYDRO_WATERCOURSE_DRAIN,hy_watercourse,feature_type_code='watercourse_channel_drain'
VMHYDRO_WATERCOURSE_RIVER,hy_watercourse,feature_type_code='watercourse_river'
VMHYDRO_WATER_STRUCT_WHARF,hy_water_struct_line,feature_type_code='wharf'
VMHYDRO_WATERCOURSE_STREAM,hy_watercourse,feature_type_code='watercourse_stream'
VMHYDRO_WATERFALL,hy_water_point,feature_type_code='waterfall'
VMINDEX_FR_FRAMEWORK_AREA_LINE,fr_framework_area_line,
VMINDEX_FR_FRAMEWORK_AREA_POLYGON,fr_framework_area_polygon,
VMINDEX_VICMAP_MAPINDEX_100D,vicmap_mapindex_100d,
VMINDEX_VICMAP_MAPINDEX_25D,vicmap_mapindex_25d,
VMINDEX_VICMAP_MAPINDEX_25S,vicmap_mapindex_25s,
VMINDEX_VICMAP_MAPINDEX_30DA3,vicmap_mapindex_30da3,
VMINDEX_VICMAP_MAPINDEX_30SA4,vicmap_mapindex_30sa4,
VMINDEX_VICMAP_MAPINDEX_50D,vicmap_mapindex_50d,
VMINDEX_VICMAP_MAPINDEX_50S,vicmap_mapindex_50s,
VMINDEX_VICMAP_MAPINDEX_SPECIAL,vicmap_mapindex_special,
VMLITE_BUILT_UP_AREA,vmlite_built_up_area,
VMLITE_FOREST_SU2,vmlite_forest_su2,
VMLITE_FOREST_SU3,vmlite_forest_su3,
VMLITE_FOREST_SU5,vmlite_forest_su5,
VMLITE_GEO_AREA_LABEL,vmlite_geo_area_label,
VMLITE_GEO_POINT_LABEL,vmlite_geo_point_label,
VMLITE_HY_WATER_AREA,vmlite_hy_water_area,
VMLITE_HY_WATERCOURSE,vmlite_hy_watercourse,
VMLITE_LGA,vmlite_lga,
VMLITE_LOCALITY,vmlite_locality,
VMLITE_LOCALITY_POLYGON,vmlite_locality_polygon,
VMLITE_POSTCODE_POLYGON,vmlite_postcode_polygon,
VMLITE_PUBLIC_LAND_COASTAL_W_SU3,vmlite_public_land_su3,public_land_group='COASTAL WATERS'
VMLITE_PUBLIC_LAND_COASTAL_W_SU5,vmlite_public_land_su5,public_land_group='COASTAL WATERS'
VMLITE_PUBLIC_LAND_MARINE_PARKRES_SU3,vmlite_public_land_su3,public_land_group='MARINE PARKS AND RESERVES'
VMLITE_PUBLIC_LAND_MARINE_PARKRES_SU5,vmlite_public_land_su5,public_land_group='MARINE PARKS AND RESERVES'
VMLITE_PUBLIC_LAND_OTHER_SU3,vmlite_public_land_su3,public_land_group= 'OTHER PUBLIC LAND'
VMLITE_PUBLIC_LAND_OTHER_SU5,vmlite_public_land_su5,public_land_group= 'OTHER PUBLIC LAND'
VMLITE_PUBLIC_LAND_PARKRES_SU3,vmlite_public_land_su3,public_land_group='PARKS AND RESERVES'
VMLITE_PUBLIC_LAND_PARKRES_SU5,vmlite_public_land_su5,public_land_group='PARKS AND RESERVES'
VMLITE_PUBLIC_LAND_SOFTWOOD_SU3,vmlite_public_land_su3,public_land_group='SOFTWOOD PLANTATION'
VMLITE_PUBLIC_LAND_SOFTWOOD_SU5,vmlite_public_land_su5,public_land_group='SOFTWOOD PLANTATION'
VMLITE_PUBLIC_LAND_STATE_FOREST_SU3,vmlite_public_land_su3,public_land_group='STATE FOREST'
VMLITE_PUBLIC_LAND_STATE_FOREST_SU5,vmlite_public_land_su5,public_land_group='STATE FOREST'
VMLITE_PUBLIC_LAND_SU3,vmlite_public_land_su3,
VMLITE_PUBLIC_LAND_SU5,vmlite_public_land_su5,
VMLITE_TR_AIRPORT,vmlite_tr_airport,
VMLITE_TR_RAIL,vmlite_tr_rail,
VMLITE_TR_RAIL_STATION,vmlite_tr_rail_station,
VMLITE_TR_ROAD,vmlite_tr_road,
VMLITE_VICTORIA_POLYGON_SU5,vmlite_victoria_polygon_su5,
VMPLAN_PLAN_CODELIST,plan_codelist,
VMPLAN_PLAN_OVERLAY,plan_overlay,
VMPLAN_PLAN_UGA,plan_uga,
VMPLAN_PLAN_UGB,plan_ugb,
VMPLAN_PLAN_ZONE,plan_zone,
VMPROP_ANNOTATION_TEXT,annotation_text,
VMPROP_EASEMENT,easement,
VMPROP_PARCEL_MP_ALL,parcel_mp_all,
VMPROP_PARCEL_PROPERTY,parcel_property,
VMPROP_PARCEL_VIEW,parcel_view,
VMPROP_PROPERTY_MP_ALL,property_mp_all,
VMPROP_PROPERTY_VIEW,property_view,
VMPROP_ROAD_CASEMENT_POLYGON,road_casement_polygon,
VMTRANS_AIR_INFRA_AREA_POLYGON,tr_air_infra_area_polygon,
VMTRANS_AIRPORT_AREA_POLYGON,tr_airport_area_polygon,
VMTRANS_AIRPORT_INFRASTRUCTURE,tr_airport_infrastructure,
VMTRANS_ALPS_WALKING_TRACK,tr_road,road_name_1='AUSTRALIAN ALPS WALKING' and road_type_1='TRACK' or ezi_road_name='AUSTRALIAN ALPS WALKING TRACK'
VMTRANS_BICENTENNIAL_NATIONAL,tr_road,road_name='BICENTENNIAL NATIONAL' or road_name_1='BICENTENNIAL NATIONAL' or road_name_2='BICENTENNIAL NATIONAL' or road_name_3='BICENTENNIAL NATIONAL'
VMTRANS_GREAT_DIVIDING_TRAIL,tr_road,(road_name_1='GREAT DIVIDING' and road_type_1='TRAIL') or (road_name='GREAT DIVIDING' and road_type='TRAIL') or (road_name_2='GREAT DIVIDING' and road_type_2='TRAIL') or (road_name_3='GREAT DIVIDING' and road_type_3='TRAIL') or (road_name_4='GREAT DIVIDING' and road_type_4='TRAIL') or (road_name_5='GREAT DIVIDING' and road_type_5='TRAIL') or (road_name_6='GREAT DIVIDING' and road_type_6='TRAIL')
VMTRANS_BIKE_BRIDGES,tr_road_infrastructure,feature_type_code='bridge' and construction_type=1
VMTRANS_GATE,tr_road_infrastructure,feature_type_code='gate'
VMTRANS_RAIL_STATION_DISMANTLED,tr_rail_infrastructure,feature_type_code='rail_station' and physical_condition=1
VMTRANS_LEVEL_CROSSING,tr_road_infrastructure,feature_type_code='level_crossing'
VMTRANS_RAIL_STATION_DISUSED,tr_rail_infrastructure,feature_type_code='rail_station' and physical_condition=2
VMTRANS_RAIL_STATION_OPERATIONAL,tr_rail_infrastructure,feature_type_code='rail_station' and physical_condition=3
VMTRANS_SURF_COAST_WALK,tr_road,(road_name= 'SURF COAST' and road_type='WALK') or (road_name_1= 'SURF COAST' and road_type_1='WALK') or (road_name_2='SURF COAST' and road_type_2='WALK') or (road_name_3='SURF COAST' and road_type_3='WALK')
VMTRANS_ROUNDABOUT,tr_road_infrastructure,feature_type_code='roundabout'
VMTRANS_TR_AIR_INFRA_POINT,tr_air_infra_point,
VMTRANS_TR_FERRY_ROUTE,tr_road,class_code=14
VMTRANS_TR_RAIL,tr_rail,
VMTRANS_TR_RAIL_BRIDGE,tr_rail,feature_type_code='bridge_rail_o'
VMTRANS_TR_RAIL_DISMANTLED,tr_rail,feature_type_code='railway' and physical_condition=1
VMTRANS_TR_RAIL_DISUSED,tr_rail,feature_type_code='railway' and physical_condition=2
VMTRANS_TR_RAIL_INFRASTRUCTURE,tr_rail_infrastructure,
VMTRANS_TR_RAIL_LIGHT,tr_rail,feature_type_code='rail_light'
VMTRANS_TR_RAIL_MARSHALLING,tr_rail,feature_type_code='marshalling_yard_rail'
VMTRANS_TR_RAIL_OPERATIONAL,tr_rail,feature_type_code='railway' and physical_condition=3
VMTRANS_TR_RAIL_SIDING,tr_rail,feature_type_code='rail_siding'
VMTRANS_TR_RAIL_TRAIL,tr_rail,feature_type_code='rail_trail'
VMTRANS_TR_RAIL_TRAM,tr_rail,feature_type_code='tramway'
VMTRANS_TR_RAIL_TUNNEL,tr_rail,feature_type_code='tunnel_rail_o'
VMTRANS_TR_RAIL_UNDERGROUND,tr_rail,feature_type_code='rail_uground_o'
VMTRANS_TR_ROAD,tr_road,
VMTRANS_TR_ROAD_4WD,tr_road,class_code=7
VMTRANS_TR_ROAD_ARTERIAL,tr_road,class_code=2
VMTRANS_TR_ROAD_BIKE_PATH,tr_road,class_code=12
VMTRANS_TR_ROAD_BRIDGE,tr_road,feature_type_code='bridge'
VMTRANS_TR_ROAD_CLOSED,tr_road,restrictions=4
VMTRANS_TR_ROAD_COLLECTOR,tr_road,class_code=4
VMTRANS_TR_ROAD_DWO,tr_road,restrictions=7
VMTRANS_TR_ROAD_FOOTBRIDGE,tr_road,feature_type_code='foot_bridge'
VMTRANS_TR_ROAD_FORDS,tr_road,feature_type_code='ford'
VMTRANS_TR_ROAD_FREEWAY,tr_road,class_code=0
VMTRANS_TR_ROAD_HIGHWAY,tr_road,class_code=1
VMTRANS_TR_ROAD_LIMITS,tr_road,restrictions=3
VMTRANS_TR_ROAD_LOCAL,tr_road,class_code=5
VMTRANS_TR_ROAD_MANAGEMENT_VEHICLES,tr_road,restrictions=1
VMTRANS_TR_ROAD_PRIVATE,tr_road,restrictions=5
VMTRANS_TR_ROAD_PROPOSED,tr_road,class_code=9
VMTRANS_TR_ROAD_SEASONAL,tr_road,
VMTRANS_TR_ROAD_SUB_A,tr_road,class_code=3
VMTRANS_TR_ROAD_TOLLWAYS,tr_road,road_name like '%CITYLINK%' or road_name like '%EASTLINK%'
VMTRANS_TR_ROAD_TRACKS,tr_road,class_code=6
VMTRANS_TR_ROAD_TUNNEL,tr_road,feature_type_code='tunnel'
VMTRANS_TR_ROAD_UNMAINTAINED,tr_road,restrictions=6
VMTRANS_WALKING_TRACK,tr_road,class_code=11
VMVEG_TREE_DENSITY,tree_density,
VMVEG_TREE_DENSITY_DENSE,tree_density,tree_density='dense'
VMVEG_TREE_DENSITY_MEDIUM,tree_density,tree_density='medium'
VMVEG_TREE_DENSITY_SCATTERED,tree_density,tree_density='sparse'
WARD_2017,ward_2017,
WATER_AQUIFER_SAL_BASAL,aquifer_sal_basal,
WATER_AQUIFER_SAL_BED,aquifer_sal_bed,
WATER_AQUIFER_SAL_SHALLOW,aquifer_sal_shallow,
WATER_BFI_UNREG_RIVERS_1889_2012,bfi_unreg_rivers_1889_2012,
WATER_BORES_BED_FA,bores_bed_fa,
WATER_BORES_BSE_ALL,bores_bse_all,
WATER_BORES_SED_FA,bores_sed_fa,
WATER_BORES_VOLC_FA,bores_volc_fa,
WATER_BU_LTER,bu_lter,
WATER_BU_MTER,bu_mter,
WATER_BU_UTER,bu_uter,
WATER_BU_WTABLE,bu_wtable,
WATER_CORP,water_corp,
WATER_DAM__,dam,
WATER_DW_POINTS,dw_points,
WATER_EST_CATCH,est_catch,
WATER_EST_FLUV,est_fluv,
WATER_ESTUARIES,estuaries,
WATER_EWSP,ewsp,
WATER_FARM_DAMS_POINT,farm_dams_point,
WATER_FAULTS_GOLDEN_BEACH_FM,faults_golden_beach_fm,
WATER_FAULTS_LATROBE_GP,faults_latrobe_gp,
WATER_FAULTS_NWMURRAY_BASIN,faults_nwmurray_basin,
WATER_FAULTS_STRZELECKI_GP,faults_strzelecki_gp,
WATER_FAULTS_WANGERRIP_GP,faults_wangerrip_gp,
WATER_FLOWS_RIVER_REACHES,flows_river_reaches,
WATER_GC,gc,
WATER_GDE_TERR_CORCMA,gde_terr_corcma,
WATER_GDE_TERR_EGCMA,gde_terr_egcma,
WATER_GDE_TERR_GBCMA,gde_terr_gbcma,
WATER_GDE_TERR_GHCMA,gde_terr_ghcma,
WATER_GDE_TERR_MCMA,gde_terr_mcma,
WATER_GDE_TERR_NCCMA,gde_terr_nccma,
WATER_GDE_TERR_NECMA,gde_terr_necma,
WATER_GDE_TERR_PPCMA,gde_terr_ppcma,
WATER_GDE_TERR_WCMA,gde_terr_wcma,
WATER_GDE_TERR_WGCMA,gde_terr_wgcma,
WATER_GEOL_BSE_PERMIAN,geol_bse_permian,
WATER_GEOL_SED_GOULBURN_MURRAY,geol_sed_goulburn_murray,
WATER_GEOL_STRUCT_GOULBURN_MURRAY,geol_struct_goulburn_murray,
WATER_GEOL_STRUCT_OVENS_VALLEY,geol_struct_ovens_valley,
WATER_GMA,gma,
WATER_GMA_SUBZONE,no match,
WATER_GMA_ZONE,gma_zone,
WATER_GMB,gmb,
WATER_GW_BORES_CL,gw_bores_cl,
WATER_GW_FLOW_IMPACT_STRUCT,gw_flow_impact_struct,
WATER_GW_SITES,gw_sites,
WATER_GW_SW_INTERACTION,gw_sw_interaction,
WATER_GW_SW_INTERACTION_FLUX,gw_sw_interaction_flux,
WATER_GWR,gwr,
WATER_IRRIGATION_DISTRICT,irrigation_district,
WATER_ISC_REACH,isc_reach,
WATER_ISC2010_BANKFULL_WIDTH_R,isc2010_bankfull_width_r,
WATER_ISC2010_BARE_GROUND,isc2010_bare_ground,
WATER_ISC2010_CHANNEL_TRANSECTS,isc2010_channel_transects,
WATER_ISC2010_TOE_OF_BANK,isc2010_toe_of_bank,
WATER_ISC2010_TOP_OF_BANK,isc2010_top_of_bank,
WATER_ISC2010_VEGETATION_WIDTH,isc2010_vegetation_width,
WATER_ISC2010_WATER_BODIES,isc2010_water_bodies,
WATER_LINEAMENTS_GRAVITY,lineaments_gravity,
WATER_LINEAMENTS_RADIO,lineaments_radio,
WATER_LINEAMENTS_TMI,lineaments_tmi,
WATER_MELBOURNE_WATER_CORP,water_corp,watercorp_type_id=4
WATER_MELBOURNE_WATER_RETAILER,water_corp,watercorp_type_id=3
WATER_MODIFIED_RIVERS,modified_rivers,
WATER_PRIORITY_RIVERS,priority_rivers,
WATER_PWSC100,pwsc100,
WATER_RURAL_WATER_CORP,water_corp,watercorp_type_id=2
WATER_SDL_BASEFLOWS,sdl_baseflows,
WATER_SDL_CATCH,sdl_catch,
WATER_SPRING_LOCATIONS,spring_locations,
WATER_STORAGE_,water_storage,
WATER_URBAN_WATER_CORP,water_corp,watercorp_type_id=1
WATER_WSPA,wspa,
WATER_WSPA_ZONE,wspa_zone,
